host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,longitude,latitude,price,host_is_superhost,instant_bookable
1,Sagene,Entire rental unit,Entire home/apt,4,2,2,5,25,4.84,4.64,4.6,4.65,4.92,4.7,4.74,10.75792,59.9391,1000.00,false,false
1,St. Hanshaugen,Private room in rental unit,Private room,2,1,1,2,63,4.78,4.87,4.81,4.81,4.84,4.7,4.81,10.73455,59.92513,700.00,true,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,2,24,4.61,4.83,4.65,4.74,4.96,4.96,4.78,10.71444,59.91774,514.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,5,2,2,13,27,4.92,4.92,4.84,4.96,4.92,4.96,5,10.75144,59.91847,1279.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,1,55,4.81,4.87,4.93,4.93,4.98,4.89,4.74,10.7402,59.93187,650.00,false,false
3,Frogner,Entire rental unit,Entire home/apt,4,2,3,3,162,4.86,4.94,4.83,4.92,4.94,4.94,4.81,10.72469,59.92085,1186.00,true,false
2,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,3,114,4.95,4.94,4.83,4.95,4.92,4.99,4.89,10.75503,59.92455,848.00,true,false
2,Grünerløkka,Entire rental unit,Entire home/apt,5,2,4,3,21,4.86,5,4.81,4.95,5,5,4.81,10.76326,59.92799,1171.00,true,true
1,Grünerløkka,Private room in rental unit,Private room,2,1,1,1,444,4.59,4.71,4.61,4.78,4.81,4.56,4.69,10.77894,59.93119,410.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,2,21,19,4.58,4.68,4.89,4.89,5,4.95,4.68,10.76238,59.92583,899.00,false,false
4,Gamle Oslo,Private room in loft,Private room,2,1,1,1,242,4.84,4.85,4.93,4.94,4.96,4.72,4.68,10.76555,59.91382,1028.00,true,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,3,30,4.77,4.83,4.87,4.83,4.8,4.7,4.7,10.73264,59.92692,590.00,false,false
1,Bjerke,Entire rental unit,Entire home/apt,4,2,2,4,29,4.88,4.96,4.69,4.85,4.85,4.77,4.92,10.8283,59.94814,650.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,3,9,4.78,4.78,4.56,4.56,4.56,4.89,4.56,10.77911,59.91543,1064.00,false,false
1,Nordstrand,Entire townhouse,Entire home/apt,8,4,6,6,18,4.75,4.81,4.75,4.75,4.94,4.75,4.88,10.79816,59.85072,1100.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,6,16,4.87,4.87,4.93,4.73,4.93,4.47,4.8,10.74967,59.92459,700.00,false,false
1,Bjerke,Entire rental unit,Entire home/apt,4,2,2,7,3,5,5,5,5,5,5,5,10.79611,59.93835,1250.00,true,false
2,Grünerløkka,Entire rental unit,Entire home/apt,4,1,2,2,460,4.93,4.95,4.94,4.97,4.99,4.95,4.86,10.7622,59.92675,1561.00,true,false
2,Gamle Oslo,Entire residential home,Entire home/apt,6,3,3,2,9,4.89,4.89,4.78,4.89,5,4.78,4.78,10.77682,59.90208,2000.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,1,1,13,4.62,4.77,4.85,4.58,4.83,4.75,4.83,10.76086,59.92671,750.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,2,2,3,58,4.84,4.98,4.63,4.89,5,4.8,4.89,10.78717,59.91327,750.00,false,false
1,Grünerløkka,Private room in condominium (condo),Private room,2,1,1,5,2,5,5,5,5,5,5,5,10.77514,59.93188,800.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,2,4,3,58,4.79,4.86,4.7,4.89,4.86,4.66,4.73,10.76862,59.91294,1020.00,true,false
0,Gamle Oslo,Entire condominium (condo),Entire home/apt,2,1,1,2,23,4.91,5,4.86,5,5,4.95,4.77,10.7791,59.91272,950.00,false,false
3,Frogner,Private room in rental unit,Private room,1,1,1,30,40,4.85,4.78,4.93,4.98,4.95,4.93,4.88,10.70101,59.91945,451.00,false,false
1,Frogner,Private room in rental unit,Private room,2,1,1,1,8,5,5,5,5,5,5,4.71,10.71872,59.93059,550.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,3,1,1,7,5,5,5,5,5,5,5,5,10.76092,59.91954,764.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,6,3,3,7,7,4.83,4.67,4.83,5,5,5,5,10.71421,59.92579,1990.00,false,false
4,Gamle Oslo,Entire rental unit,Entire home/apt,5,2,2,1,200,4.4,4.62,4.53,4.52,4.45,4.58,4.46,10.76669,59.90919,1221.00,false,true
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,1,1,2,248,4.86,4.95,4.83,4.89,4.98,4.69,4.82,10.77597,59.90633,757.00,false,false
2,Sagene,Private room in rental unit,Private room,2,1,2,30,38,4.5,4.58,4.58,4.74,4.76,4.84,4.5,10.7596,59.92948,426.00,false,false
2,Grünerløkka,Private room in rental unit,Private room,2,1,2,30,70,4.47,4.67,4.52,4.7,4.63,4.83,4.61,10.75912,59.92836,495.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,2,1,1,2,31,4.87,4.97,4.97,4.87,4.94,4.87,4.84,10.77165,59.90353,850.00,false,false
2,Gamle Oslo,Private room in rental unit,Private room,2,1,1,7,76,4.87,4.89,4.84,4.95,4.95,4.8,4.84,10.76236,59.91363,450.00,false,false
1,Grünerløkka,Entire condominium (condo),Entire home/apt,4,2,2,3,9,5,5,4.75,5,5,4.88,4.88,10.75596,59.91889,250.00,false,false
1,Vestre Aker,Private room in residential home,Private room,2,1,1,1,7,4.86,5,4.86,4.86,5,4.86,4.29,10.67788,59.94433,590.00,false,false
2,Nordre Aker,Private room in rental unit,Private room,2,1,1,30,9,4.67,4.44,4.67,4.56,4.89,4.78,5,10.78913,59.96394,249.00,false,false
2,Søndre Nordstrand,Private room in rental unit,Private room,2,1,1,2,75,4.82,4.92,4.85,4.86,4.89,4.56,4.89,10.79884,59.83914,450.00,true,false
2,Vestre Aker,Private room in residential home,Private room,6,1,2,1,55,4.52,4.55,4.51,4.82,4.94,4.76,4.48,10.66651,59.96064,400.00,false,false
1,Sagene,Private room in rental unit,Private room,2,1,1,2,37,4.95,4.89,4.78,4.84,4.92,4.81,4.81,10.75876,59.94276,493.00,true,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,2,22,4.94,5,4.94,4.78,5,4.94,4.89,10.78964,59.90616,570.00,false,false
4,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,1,115,4.24,4.51,4.65,4.43,4.53,4.72,4.36,10.76643,59.91038,540.00,false,true
6,Grünerløkka,Entire loft,Entire home/apt,4,1,1,2,181,4.87,4.91,4.84,4.96,4.99,4.82,4.77,10.76494,59.91903,857.00,true,false
2,Gamle Oslo,Entire condominium (condo),Entire home/apt,4,2,4,3,75,4.93,4.99,4.89,4.97,4.96,4.85,4.89,10.77634,59.90662,836.00,true,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,5,22,5,4.91,5,4.95,5,5,4.91,10.73639,59.92314,1600.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,5,3,4,4,84,4.77,4.83,4.79,4.94,4.98,4.59,4.77,10.76378,59.90085,1899.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,4,1,3,4,2,4.5,5,5,5,5,5,4.5,10.72591,59.92054,900.00,false,false
1,Østensjø,Entire residential home,Entire home/apt,6,4,6,5,7,4.43,4.71,4.57,4.71,4.71,4.57,4.86,10.84506,59.8956,1500.00,false,false
0,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,20,1,4,3,3,4,5,5,4,10.7574,59.92783,650.00,false,false
15,Sentrum,Entire rental unit,Entire home/apt,8,2,5,2,78,4.56,4.57,4.4,4.82,4.88,4.82,4.46,10.74623,59.90869,1357.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,2,1,1,2,5,4.67,4.67,4.67,5,5,5,4.67,10.72333,59.92475,600.00,false,false
2,Gamle Oslo,Private room in rental unit,Private room,2,1,1,1,131,4.78,4.89,4.71,4.91,4.93,4.8,4.82,10.77652,59.90553,300.00,true,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,4,2,2,7,3,5,5,5,5,5,5,5,10.78728,59.91034,700.00,false,false
1,St. Hanshaugen,Entire rental unit,Entire home/apt,2,1,1,10,19,5,4.94,4.83,5,5,4.94,5,10.73731,59.92702,620.00,false,false
0,Vestre Aker,Entire condominium (condo),Entire home/apt,4,3,4,4,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.68368,59.95863,1500.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,2,35,4.94,4.94,4.82,4.94,4.91,4.83,4.91,10.76653,59.93823,950.00,true,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,2,23,4.91,4.9,5,4.95,4.9,4.76,4.76,10.76074,59.92827,600.00,false,false
1,Gamle Oslo,Entire residential home,Entire home/apt,7,4,6,5,3,5,5,4.67,5,5,5,5,10.78482,59.91151,1390.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,7,3,4,3,31,4.96,4.89,5,4.93,4.93,4.81,4.85,10.76383,59.92582,1200.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,21,50,4.84,4.86,4.94,4.94,4.96,4.86,4.62,10.76188,59.93256,570.00,false,false
1,Sagene,Private room in rental unit,Private room,1,1,1,6,19,4.89,4.94,5,4.94,5,4.94,4.83,10.77013,59.93606,431.00,true,false
1,Vestre Aker,Private room in rental unit,Private room,1,1,1,1,24,4.71,4.83,4.08,5,5,4.83,4.67,10.70525,59.94111,500.00,false,false
2,Sagene,Entire condominium (condo),Entire home/apt,9,4,9,6,6,4.83,5,5,5,5,5,5,10.76403,59.93432,1200.00,false,false
1,Frogner,Entire rental unit,Entire home/apt,4,2,2,7,15,5,5,5,5,4.93,5,4.79,10.70363,59.91788,1300.00,false,false
0,Østensjø,Private room in rental unit,Private room,3,1,2,3,5,4.8,4.25,5,5,5,5,5,10.8453,59.89876,590.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,2,2,5,5,5,5,5,5,4.75,5,4.75,10.75826,59.92493,2100.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,4,2,2,7,22,4.93,5,5,4.93,4.87,5,4.93,10.76777,59.9259,1350.00,false,false
1,Grünerløkka,Private room in rental unit,Private room,2,1,2,2,73,4.85,4.83,4.82,4.96,4.92,4.97,4.86,10.75826,59.92212,360.00,true,false
1,Nordre Aker,Private room in residential home,Private room,4,2,2,3,47,4.59,4.84,4.41,4.84,4.77,4.68,4.75,10.78121,59.95569,351.00,false,false
2,Frogner,Private room in rental unit,Private room,2,1,1,1,33,4.82,4.84,4.85,4.91,4.91,4.75,4.81,10.69393,59.92113,482.00,false,true
2,Frogner,Entire rental unit,Entire home/apt,4,2,2,2,31,4.77,4.72,4.83,4.96,4.96,4.65,4.62,10.69227,59.91968,1100.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,2,1,1,6,22,4.95,4.81,4.9,4.9,5,4.85,4.75,10.75234,59.9344,900.00,false,false
1,Nordstrand,Entire rental unit,Entire home/apt,6,2,2,4,25,4.8,4.92,4.64,4.96,5,4.75,4.83,10.82043,59.86609,600.00,false,false
0,Gamle Oslo,Entire rental unit,Entire home/apt,3,1,2,3,13,4.83,4.83,4.67,4.67,4.83,4.75,4.83,10.78119,59.90856,650.00,false,false
2,Vestre Aker,Tiny house,Entire home/apt,2,1,2,1,294,4.95,4.97,4.97,4.97,4.98,4.93,4.92,10.64937,59.97131,850.00,true,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,8,37,4.94,4.97,4.94,4.97,4.94,4.79,4.94,10.76301,59.91068,790.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,4,1,1,4,27,4.78,5,4.78,4.93,4.96,4.67,4.7,10.76256,59.94632,1300.00,false,true
4,Gamle Oslo,Private room in loft,Private room,6,1,2,1,53,4.81,4.83,4.94,4.94,4.92,4.72,4.7,10.76573,59.91372,1428.00,true,false
2,Frogner,Entire loft,Entire home/apt,5,2,3,3,56,4.55,4.51,4.38,4.4,4.74,4.85,4.62,10.70628,59.92081,950.00,false,false
1,St. Hanshaugen,Private room in rental unit,Private room,2,1,1,2,66,4.91,4.98,4.85,4.95,4.98,4.88,4.87,10.74774,59.91861,551.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,3,4,5,5,5,5,5,5,5,10.77703,59.92472,900.00,false,false
1,Sentrum,Entire rental unit,Entire home/apt,5,1,2,2,32,4.61,4.79,4.53,4.9,4.97,4.9,4.8,10.7366,59.91726,914.00,false,false
1,Sagene,Entire rental unit,Entire home/apt,5,2,4,5,15,4.71,4.93,4.86,5,5,4.86,4.64,10.76036,59.93101,1200.00,false,true
1,Gamle Oslo,Private room in rental unit,Private room,4,1,1,1,123,4.65,4.75,4.89,4.89,4.88,4.61,4.67,10.77276,59.91208,1000.00,false,false
1,Gamle Oslo,Entire rental unit,Entire home/apt,2,1,1,10,2,5,5,4,5,5,5,5,10.76657,59.91421,700.00,false,false
1,Frogner,Entire condominium (condo),Entire home/apt,2,1,1,4,0,4.88,4.93,4.84,4.96,5,4.91,4.83,10.71467,59.92842,529.00,false,false
1,Nordstrand,Entire condominium (condo),Entire home/apt,4,2,2,3,42,4.95,5,4.98,4.95,5,4.95,4.9,10.77104,59.89003,1780.00,true,false
1,Nordre Aker,Entire townhouse,Entire home/apt,5,3,3,5,33,4.94,4.94,4.88,4.97,4.94,4.75,4.88,10.76142,59.94778,1299.00,true,false
2,Nordre Aker,Entire rental unit,Entire home/apt,4,3,3,4,17,4.88,4.82,4.71,4.88,5,4.88,4.94,10.76437,59.94855,1100.00,true,false
1,Alna,Private room in rental unit,Private room,2,1,1,1,3,1,1,1,1,1,1,1,10.85837,59.91917,269.00,false,false
2,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,3,46,4.77,4.91,4.86,5,5,4.64,4.76,10.77818,59.93123,969.00,false,false
1,Grünerløkka,Entire rental unit,Entire home/apt,2,1,1,2,3,4.33,5,3.67,5,5,5,4.33,10.75871,59.91984,780.00,false,false
1,Gamle Oslo,Private room in rental unit,Private room,2,1,1,1,165,4.81,4.84,4.83,4.81,4.87,4.67,4.74,10.78461,59.90719,499.00,true,false
0,Frogner,Entire rental unit,Entire home/apt,4,2,2,3,1,5,5,5,5,5,5,5,10.72223,59.90751,1990.00,false,false
2,Frogner,Entire rental unit,Entire home/apt,2,1,1,6,57,4.84,4.84,4.91,4.96,4.96,4.96,4.77,10.71937,59.916,550.00,false,false
